Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-08-28 17:08:22.197 -0400,"Success",0:00:27,0,0,0,"20180828_170822.197/LogFile.txt","","",1
2018-09-05 10:52:40.949 -0400,"Success",0:02:55,0,0,0,"20180905_105240.949/LogFile.txt","","",1
2018-09-05 14:47:12.355 -0400,"Aborted",0:00:01,1,0,0,"20180905_144712.355/LogFile.txt","","",0
2018-09-05 17:18:45.314 -0400,"Failure",0:01:46,1,0,0,"20180905_171845.314/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'ß'",0
2018-09-05 17:29:11.465 -0400,"Aborted",0:00:03,1,0,0,"20180905_172911.465/LogFile.txt","","",0
2018-09-08 17:57:51.104 -0400,"Failure",0:00:11,1,0,1,"20180908_175751.104/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""FlowBoard""",0
2018-09-08 18:23:33.304 -0400,"Success",0:00:38,0,0,0,"20180908_182333.304/LogFile.txt","","",1
2018-09-08 21:04:45.603 -0400,"Success",0:00:40,0,0,0,"20180908_210445.603/LogFile.txt","","",1
2018-09-08 21:16:26.983 -0400,"Success",0:01:21,0,0,0,"20180908_211626.983/LogFile.txt","","",1
2018-09-10 10:47:45.386 -0400,"Success",0:00:15,0,0,0,"20180910_104745.386/LogFile.txt","","",1
