Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-08-28 15:01:19.258 -0400,"Success",0:00:03,0,0,0,"20180828_150119.258/LogFile.txt","","",1
2018-08-28 15:01:24.274 -0400,"Aborted",0:00:05,1,0,0,"20180828_150124.274/LogFile.txt","","",0
2018-08-28 17:08:49.937 -0400,"Success",0:00:03,0,0,0,"20180828_170849.937/LogFile.txt","","",1
2018-08-28 17:08:53.936 -0400,"Aborted",0:00:55,1,0,0,"20180828_170853.936/LogFile.txt","","",0
2018-08-28 17:27:14.574 -0400,"Success",0:00:11,0,0,0,"20180828_172714.574/LogFile.txt","","",1
2018-08-28 17:27:26.901 -0400,"Success",0:00:16,0,0,0,"20180828_172726.901/LogFile.txt","","",1
2018-08-28 17:27:43.934 -0400,"Success",0:00:01,0,0,0,"20180828_172743.934/LogFile.txt","","",1
2018-08-28 17:27:46.081 -0400,"Success",0:00:01,0,0,0,"20180828_172746.081/LogFile.txt","","",1
2018-08-28 17:27:48.396 -0400,"Success",0:00:01,0,0,0,"20180828_172748.396/LogFile.txt","","",1
2018-08-28 17:27:50.284 -0400,"Success",0:00:01,0,0,0,"20180828_172750.284/LogFile.txt","","",1
2018-08-28 17:27:52.172 -0400,"Success",0:00:01,0,0,0,"20180828_172752.172/LogFile.txt","","",1
2018-08-28 17:27:54.447 -0400,"Success",0:00:01,0,0,0,"20180828_172754.447/LogFile.txt","","",1
2018-08-28 17:27:56.516 -0400,"Success",0:00:01,0,0,0,"20180828_172756.516/LogFile.txt","","",1
2018-08-28 17:27:58.340 -0400,"Success",0:00:01,0,0,0,"20180828_172758.340/LogFile.txt","","",1
2018-08-28 17:28:00.616 -0400,"Success",0:00:01,0,0,0,"20180828_172800.616/LogFile.txt","","",1
2018-08-28 17:28:02.488 -0400,"Success",0:00:01,0,0,0,"20180828_172802.488/LogFile.txt","","",1
2018-08-28 17:28:04.346 -0400,"Success",0:00:01,0,0,0,"20180828_172804.346/LogFile.txt","","",1
2018-08-28 17:28:06.551 -0400,"Success",0:00:01,0,0,0,"20180828_172806.551/LogFile.txt","","",1
2018-08-28 17:28:08.437 -0400,"Success",0:00:01,0,0,0,"20180828_172808.437/LogFile.txt","","",1
2018-08-28 17:28:10.629 -0400,"Success",0:00:01,0,0,0,"20180828_172810.629/LogFile.txt","","",1
