Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-08-29 09:38:18.785 -0400,"Success",0:00:39,0,0,0,"20180829_093818.785/LogFile.txt","","",1
2018-08-29 09:47:53.966 -0400,"Aborted",0:06:02,1,0,1,"20180829_094753.966/LogFile.txt","","",0
2018-08-29 11:55:03.794 -0400,"Success",0:01:58,0,0,0,"20180829_115503.794/LogFile.txt","","",1
2018-09-05 10:26:37.922 -0400,"Aborted",0:00:01,1,0,0,"20180905_102637.922/LogFile.txt","","",0
2018-09-05 10:38:49.307 -0400,"Success",0:05:42,0,0,0,"20180905_103849.307/LogFile.txt","","",1
2018-09-05 11:02:06.060 -0400,"Failure",0:00:19,1,0,1,"20180905_110206.060/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""addNewApt""",0
2018-09-05 11:07:04.463 -0400,"Success",0:04:21,0,0,0,"20180905_110704.463/LogFile.txt","","",1
2018-09-05 11:13:05.852 -0400,"Success",0:00:14,0,0,0,"20180905_111305.852/LogFile.txt","","",1
2018-09-05 11:32:51.199 -0400,"Success",0:00:15,0,0,0,"20180905_113251.199/LogFile.txt","","",1
2018-09-05 11:33:06.609 -0400,"Aborted",0:01:54,1,0,0,"20180905_113306.609/LogFile.txt","","",0
2018-09-05 11:35:01.699 -0400,"Aborted",0:00:25,1,0,0,"20180905_113501.699/LogFile.txt","","",0
2018-09-05 11:35:53.552 -0400,"Success",0:00:13,0,0,0,"20180905_113553.552/LogFile.txt","","",1
2018-09-05 11:37:03.952 -0400,"Success",0:00:14,0,0,0,"20180905_113703.952/LogFile.txt","","",1
2018-09-05 13:54:47.427 -0400,"Failure",0:01:53,1,0,1,"20180905_135447.427/LogFile.txt","","Error Running Script Command -- click Error - Image Property List did not contain ""ImageName"" property",0
2018-09-05 13:57:24.589 -0400,"Failure",0:01:02,1,0,0,"20180905_135724.589/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got '((719,567),(719,634),(719,701),(719,768))'.",0
2018-09-05 14:28:20.461 -0400,"Success",0:01:06,0,0,0,"20180905_142820.461/LogFile.txt","","",1
2018-09-05 14:31:19.044 -0400,"Success",0:00:20,0,0,0,"20180905_143119.044/LogFile.txt","","",1
2018-09-05 14:32:17.280 -0400,"Success",0:00:20,0,0,0,"20180905_143217.280/LogFile.txt","","",1
2018-09-05 14:33:14.968 -0400,"Success",0:00:16,0,0,0,"20180905_143314.968/LogFile.txt","","",1
2018-09-05 14:40:58.707 -0400,"Aborted",0:00:16,1,0,0,"20180905_144058.707/LogFile.txt","","",0
2018-09-05 14:41:59.020 -0400,"Success",0:00:17,0,0,0,"20180905_144159.020/LogFile.txt","","",1
2018-09-05 14:44:40.025 -0400,"Aborted",0:02:32,1,0,0,"20180905_144440.025/LogFile.txt","","",0
2018-09-05 16:19:04.177 -0400,"Failure",0:02:54,1,0,0,"20180905_161904.177/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got ''.",0
2018-09-05 16:22:00.804 -0400,"Aborted",0:02:07,1,0,0,"20180905_162200.804/LogFile.txt","","",0
2018-09-05 16:24:44.731 -0400,"Aborted",0:02:31,1,0,0,"20180905_162444.731/LogFile.txt","","",0
2018-09-05 16:27:16.046 -0400,"Aborted",0:00:04,1,0,0,"20180905_162716.046/LogFile.txt","","",0
2018-09-05 16:34:52.145 -0400,"Aborted",0:00:03,1,0,0,"20180905_163452.145/LogFile.txt","","",0
2018-09-05 16:37:02.720 -0400,"Aborted",0:00:09,1,0,1,"20180905_163702.720/LogFile.txt","","",0
2018-09-05 16:40:38.922 -0400,"Aborted",0:04:27,1,0,0,"20180905_164038.922/LogFile.txt","","",0
2018-09-05 16:45:07.255 -0400,"Aborted",0:00:00,1,0,0,"20180905_164507.255/LogFile.txt","","",0
2018-09-05 16:51:14.368 -0400,"Failure",0:03:16,1,0,1,"20180905_165114.368/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""patient""  Restricted Search Rectangle ((555,276),(2157,1607))\n",0
2018-09-05 17:00:29.503 -0400,"Aborted",0:18:13,1,0,0,"20180905_170029.503/LogFile.txt","","",0
2018-09-05 17:22:10.803 -0400,"Failure",0:01:34,1,0,1,"20180905_172210.803/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""patient""  Restricted Search Rectangle ((555,276),(2157,1607))\n",0
2018-09-05 17:28:21.229 -0400,"Aborted",0:00:49,1,0,1,"20180905_172821.229/LogFile.txt","","",0
2018-09-05 17:30:09.651 -0400,"Success",0:01:05,0,0,0,"20180905_173009.651/LogFile.txt","","",1
2018-09-06 10:07:53.597 -0400,"Success",0:01:14,0,0,0,"20180906_100753.597/LogFile.txt","","",1
2018-09-06 10:14:05.444 -0400,"Success",0:00:54,0,0,0,"20180906_101405.444/LogFile.txt","","",1
2018-09-06 10:19:24.125 -0400,"Success",0:00:17,0,0,0,"20180906_101924.125/LogFile.txt","","",1
2018-09-08 16:01:27.915 -0400,"Aborted",0:01:05,1,1,0,"20180908_160127.915/LogFile.txt","","",0
2018-09-08 17:30:29.975 -0400,"Success",0:00:50,0,1,0,"20180908_173029.975/LogFile.txt","","",1
2018-09-08 17:45:56.255 -0400,"Aborted",0:03:50,1,3,1,"20180908_174556.255/LogFile.txt","","",0
2018-09-08 17:52:51.830 -0400,"Aborted",0:04:53,1,2,0,"20180908_175251.830/LogFile.txt","","",0
2018-09-08 17:59:04.734 -0400,"Success",0:00:31,0,0,0,"20180908_175904.734/LogFile.txt","","",1
2018-09-08 18:02:34.965 -0400,"Success",0:04:04,0,1,0,"20180908_180234.965/LogFile.txt","","",1
2018-09-08 18:10:48.760 -0400,"Failure",0:01:36,1,0,0,"20180908_181048.760/LogFile.txt","","Image Not Found -- set Error - Unable To Find Image: apointmentPopUp_A  Restricted Search Rectangle ((655,535),(2047,955))\n",0
2018-09-08 18:13:08.377 -0400,"Success",0:00:31,0,0,0,"20180908_181308.377/LogFile.txt","","",1
2018-09-08 18:20:05.658 -0400,"Success",0:00:27,0,0,0,"20180908_182005.658/LogFile.txt","","",1
2018-09-08 18:22:33.738 -0400,"Success",0:00:25,0,0,0,"20180908_182233.738/LogFile.txt","","",1
2018-09-08 18:25:48.501 -0400,"Success",0:00:25,0,0,0,"20180908_182548.501/LogFile.txt","","",1
2018-09-08 18:28:31.527 -0400,"Success",0:00:24,0,0,0,"20180908_182831.527/LogFile.txt","","",1
2018-09-08 18:29:51.696 -0400,"Success",0:00:26,0,0,0,"20180908_182951.696/LogFile.txt","","",1
2018-09-08 21:04:15.744 -0400,"Success",0:00:24,0,0,0,"20180908_210415.744/LogFile.txt","","",1
2018-09-08 21:06:03.381 -0400,"Success",0:00:23,0,0,0,"20180908_210603.381/LogFile.txt","","",1
2018-09-08 21:07:20.657 -0400,"Success",0:00:21,0,0,0,"20180908_210720.657/LogFile.txt","","",1
2018-09-08 21:09:51.941 -0400,"Success",0:00:22,0,0,0,"20180908_210951.941/LogFile.txt","","",1
2018-09-08 21:11:49.839 -0400,"Success",0:00:21,0,0,0,"20180908_211149.839/LogFile.txt","","",1
2018-09-08 21:15:33.429 -0400,"Success",0:00:22,0,0,0,"20180908_211533.429/LogFile.txt","","",1
2018-09-08 21:20:04.158 -0400,"Success",0:00:22,0,0,0,"20180908_212004.158/LogFile.txt","","",1
2018-09-10 10:11:54.210 -0400,"Success",0:00:25,0,0,0,"20180910_101154.210/LogFile.txt","","",1
2018-09-10 10:17:03.130 -0400,"Success",0:00:24,0,0,0,"20180910_101703.130/LogFile.txt","","",1
2018-09-10 10:24:19.781 -0400,"Success",0:00:26,0,0,0,"20180910_102419.781/LogFile.txt","","",1
