Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-09-05 16:35:33.428 -0400,"Failure",0:00:24,1,0,1,"20180905_163533.428/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""ConfirmCreateNewPatient""",0
2018-09-05 16:36:42.220 -0400,"Aborted",0:00:16,1,0,1,"20180905_163642.220/LogFile.txt","","",0
2018-09-05 16:38:08.352 -0400,"Success",0:01:29,0,0,0,"20180905_163808.352/LogFile.txt","","",1
2018-09-05 16:50:32.322 -0400,"Success",0:00:27,0,0,0,"20180905_165032.322/LogFile.txt","","",1
2018-09-05 16:59:01.304 -0400,"Success",0:01:16,0,0,0,"20180905_165901.304/LogFile.txt","","",1
2018-09-05 17:21:23.719 -0400,"Success",0:00:36,0,0,0,"20180905_172123.719/LogFile.txt","","",1
2018-09-05 17:27:54.025 -0400,"Aborted",0:00:22,1,0,1,"20180905_172754.025/LogFile.txt","","",0
2018-09-05 17:29:33.994 -0400,"Success",0:00:24,0,0,0,"20180905_172933.994/LogFile.txt","","",1
2018-09-06 10:07:10.393 -0400,"Success",0:00:23,0,0,0,"20180906_100710.393/LogFile.txt","","",1
2018-09-06 10:13:22.944 -0400,"Success",0:00:24,0,0,0,"20180906_101322.944/LogFile.txt","","",1
2018-09-06 10:18:27.920 -0400,"Success",0:00:39,0,0,0,"20180906_101827.920/LogFile.txt","","",1
2018-09-07 16:40:08.439 -0400,"Success",0:02:58,0,0,0,"20180907_164008.439/LogFile.txt","","",1
2018-09-08 15:56:05.314 -0400,"Success",0:05:11,0,0,0,"20180908_155605.314/LogFile.txt","","",1
2018-09-08 16:45:52.159 -0400,"Aborted",0:00:27,1,0,0,"20180908_164552.159/LogFile.txt","","",0
2018-09-08 16:47:02.268 -0400,"Aborted",0:00:14,1,0,0,"20180908_164702.268/LogFile.txt","","",0
2018-09-08 16:47:38.258 -0400,"Aborted",0:00:59,1,0,0,"20180908_164738.258/LogFile.txt","","",0
2018-09-08 16:49:02.411 -0400,"Aborted",0:02:12,1,0,0,"20180908_164902.411/LogFile.txt","","",0
2018-09-08 16:51:24.272 -0400,"Aborted",0:00:04,1,0,0,"20180908_165124.272/LogFile.txt","","",0
2018-09-08 17:01:18.866 -0400,"Success",0:07:34,0,0,0,"20180908_170118.866/LogFile.txt","","",1
2018-09-08 21:40:14.963 -0400,"Aborted",0:00:30,1,0,0,"20180908_214014.963/LogFile.txt","","",0
2018-09-08 21:40:53.866 -0400,"Aborted",0:00:09,1,0,0,"20180908_214053.866/LogFile.txt","","",0
2018-09-08 21:41:38.313 -0400,"Aborted",0:00:21,1,0,0,"20180908_214138.313/LogFile.txt","","",0
2018-09-08 21:42:00.292 -0400,"Aborted",0:00:12,1,0,0,"20180908_214200.292/LogFile.txt","","",0
2018-09-08 21:43:02.360 -0400,"Aborted",0:11:00,1,0,0,"20180908_214302.360/LogFile.txt","","",0
2018-09-08 21:54:28.998 -0400,"Aborted",0:00:42,1,0,0,"20180908_215428.998/LogFile.txt","","",0
2018-09-08 21:55:24.388 -0400,"Aborted",0:00:56,1,0,0,"20180908_215524.388/LogFile.txt","","",0
2018-09-08 21:56:30.011 -0400,"Aborted",0:00:13,1,0,0,"20180908_215630.011/LogFile.txt","","",0
2018-09-08 21:56:55.236 -0400,"Aborted",0:00:14,1,0,0,"20180908_215655.236/LogFile.txt","","",0
2018-09-08 21:57:33.870 -0400,"Failure",0:00:01,1,0,0,"20180908_215733.870/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '(1,1)' and 'PatientClient'",0
2018-09-08 21:59:51.179 -0400,"Aborted",0:00:12,1,0,0,"20180908_215951.179/LogFile.txt","","",0
2018-09-08 22:00:09.562 -0400,"Aborted",0:00:05,1,0,0,"20180908_220009.562/LogFile.txt","","",0
2018-09-08 22:00:31.391 -0400,"Success",0:03:49,0,0,0,"20180908_220031.391/LogFile.txt","","",1
