Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-08-29 09:38:58.544 -0400,"Success",0:03:43,0,0,0,"20180829_093858.544/LogFile.txt","","",1
2018-08-29 11:57:02.636 -0400,"Failure",0:00:04,1,0,1,"20180829_115702.636/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: SlotAlreadyUsed",0
2018-09-05 10:26:39.439 -0400,"Aborted",0:02:26,1,0,0,"20180905_102639.439/LogFile.txt","","",0
2018-09-05 10:44:32.472 -0400,"Failure",0:03:40,1,0,1,"20180905_104432.472/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: SlotAlreadyUsed",0
2018-09-05 11:11:26.918 -0400,"Success",0:00:33,0,0,0,"20180905_111126.918/LogFile.txt","","",1
2018-09-05 11:13:21.649 -0400,"Success",0:18:52,0,0,0,"20180905_111321.649/LogFile.txt","","",1
2018-09-05 11:36:07.485 -0400,"Success",0:00:29,0,0,0,"20180905_113607.485/LogFile.txt","","",1
2018-09-05 11:37:19.878 -0400,"Success",0:00:07,0,0,0,"20180905_113719.878/LogFile.txt","","",1
2018-09-05 14:29:28.345 -0400,"Success",0:00:57,0,0,0,"20180905_142928.345/LogFile.txt","","",1
2018-09-05 14:31:40.320 -0400,"Success",0:00:07,0,0,0,"20180905_143140.320/LogFile.txt","","",1
2018-09-05 14:32:39.103 -0400,"Success",0:00:07,0,0,0,"20180905_143239.103/LogFile.txt","","",1
2018-09-05 14:33:32.980 -0400,"Success",0:00:06,0,0,0,"20180905_143332.980/LogFile.txt","","",1
2018-09-05 14:42:16.659 -0400,"Success",0:00:57,0,0,0,"20180905_144216.659/LogFile.txt","","",1
2018-09-05 16:28:32.196 -0400,"Aborted",0:00:19,1,0,0,"20180905_162832.196/LogFile.txt","","",0
2018-09-05 16:28:51.896 -0400,"Aborted",0:00:02,1,0,0,"20180905_162851.896/LogFile.txt","","",0
2018-09-05 16:29:54.958 -0400,"Aborted",0:00:54,1,0,0,"20180905_162954.958/LogFile.txt","","",0
2018-09-05 16:30:50.298 -0400,"Aborted",0:00:01,1,0,0,"20180905_163050.298/LogFile.txt","","",0
2018-09-05 16:54:32.688 -0400,"Failure",0:00:09,1,0,1,"20180905_165432.688/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: IT",0
2018-09-05 17:23:46.329 -0400,"Failure",0:00:08,1,0,1,"20180905_172346.329/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: IT",0
2018-09-05 17:31:15.231 -0400,"Failure",0:00:15,1,0,1,"20180905_173115.231/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Ok1""",0
2018-09-08 17:49:47.255 -0400,"Aborted",0:00:57,1,0,1,"20180908_174947.255/LogFile.txt","","",0
2018-09-08 17:59:37.126 -0400,"Success",0:00:37,0,0,0,"20180908_175937.126/LogFile.txt","","",1
2018-09-08 18:20:33.587 -0400,"Success",0:00:18,0,0,0,"20180908_182033.587/LogFile.txt","","",1
2018-09-08 18:28:57.171 -0400,"Success",0:00:10,0,0,0,"20180908_182857.171/LogFile.txt","","",1
2018-09-08 18:30:19.265 -0400,"Success",0:00:19,0,0,0,"20180908_183019.265/LogFile.txt","","",1
2018-09-08 21:06:27.058 -0400,"Success",0:00:15,0,0,0,"20180908_210627.058/LogFile.txt","","",1
2018-09-08 21:07:42.702 -0400,"Success",0:00:09,0,0,0,"20180908_210742.702/LogFile.txt","","",1
2018-09-08 21:12:11.753 -0400,"Success",0:02:42,0,0,0,"20180908_211211.753/LogFile.txt","","",1
2018-09-10 10:17:28.780 -0400,"Success",0:00:08,0,0,0,"20180910_101728.780/LogFile.txt","","",1
2018-09-10 10:24:47.396 -0400,"Success",0:00:07,0,0,0,"20180910_102447.396/LogFile.txt","","",1
2018-09-10 10:26:01.991 -0400,"Success",0:00:09,0,0,0,"20180910_102601.991/LogFile.txt","","",1
2018-09-10 10:46:05.267 -0400,"Success",0:00:08,0,0,0,"20180910_104605.267/LogFile.txt","","",1
