Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-08-28 14:53:57.204 -0400,"Aborted",0:00:20,1,0,0,"20180828_145357.204/LogFile.txt","","",0
2018-08-28 14:54:57.502 -0400,"Aborted",0:00:07,1,0,0,"20180828_145457.502/LogFile.txt","","",0
2018-08-28 14:59:29.075 -0400,"Aborted",0:01:43,1,0,0,"20180828_145929.075/LogFile.txt","","",0
2018-08-28 15:03:13.598 -0400,"Success",0:03:01,0,0,0,"20180828_150313.598/LogFile.txt","","",1
2018-08-28 17:08:15.487 -0400,"Success",0:00:04,0,0,0,"20180828_170815.487/LogFile.txt","","",1
2018-08-28 17:10:11.458 -0400,"Failure",0:17:01,1,0,1,"20180828_171011.458/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""stone"")""  Restricted Search Rectangle ((1,398),(286,475))\n",0
2018-08-28 17:28:56.841 -0400,"Aborted",15:42:54,1,0,0,"20180828_172856.841/LogFile.txt","","",0
2018-08-29 09:38:14.054 -0400,"Success",0:00:03,0,0,0,"20180829_093814.054/LogFile.txt","","",1
2018-08-29 09:47:47.980 -0400,"Success",0:00:04,0,0,0,"20180829_094747.980/LogFile.txt","","",1
2018-08-29 09:54:30.834 -0400,"Aborted",0:00:37,1,0,0,"20180829_095430.834/LogFile.txt","","",0
2018-08-29 11:54:59.363 -0400,"Success",0:00:02,0,0,0,"20180829_115459.363/LogFile.txt","","",1
2018-09-05 10:26:25.118 -0400,"Aborted",0:00:10,1,0,0,"20180905_102625.118/LogFile.txt","","",0
2018-09-05 10:38:44.264 -0400,"Aborted",0:00:01,1,0,0,"20180905_103844.264/LogFile.txt","","",0
2018-09-05 11:02:01.235 -0400,"Aborted",0:00:02,1,0,0,"20180905_110201.235/LogFile.txt","","",0
2018-09-05 11:04:53.692 -0400,"Success",0:02:08,0,0,0,"20180905_110453.692/LogFile.txt","","",1
2018-09-05 11:12:58.387 -0400,"Success",0:00:05,0,0,0,"20180905_111258.387/LogFile.txt","","",1
2018-09-05 11:32:44.665 -0400,"Success",0:00:04,0,0,0,"20180905_113244.665/LogFile.txt","","",1
2018-09-05 11:35:46.001 -0400,"Success",0:00:05,0,0,0,"20180905_113546.001/LogFile.txt","","",1
2018-09-05 11:36:56.539 -0400,"Success",0:00:05,0,0,0,"20180905_113656.539/LogFile.txt","","",1
2018-09-05 14:28:00.844 -0400,"Success",0:00:17,0,0,0,"20180905_142800.844/LogFile.txt","","",1
2018-09-05 14:31:11.709 -0400,"Success",0:00:04,0,0,0,"20180905_143111.709/LogFile.txt","","",1
2018-09-05 14:32:09.189 -0400,"Success",0:00:05,0,0,0,"20180905_143209.189/LogFile.txt","","",1
2018-09-05 14:33:08.902 -0400,"Success",0:00:04,0,0,0,"20180905_143308.902/LogFile.txt","","",1
2018-09-05 14:41:50.823 -0400,"Success",0:00:06,0,0,0,"20180905_144150.823/LogFile.txt","","",1
2018-09-05 14:44:31.469 -0400,"Success",0:00:05,0,0,0,"20180905_144431.469/LogFile.txt","","",1
2018-09-05 16:18:56.868 -0400,"Success",0:00:05,0,0,0,"20180905_161856.868/LogFile.txt","","",1
2018-09-05 16:24:38.763 -0400,"Success",0:00:03,0,0,0,"20180905_162438.763/LogFile.txt","","",1
2018-09-05 16:28:25.469 -0400,"Success",0:00:04,0,0,0,"20180905_162825.469/LogFile.txt","","",1
2018-09-05 16:29:48.213 -0400,"Success",0:00:04,0,0,0,"20180905_162948.213/LogFile.txt","","",1
2018-09-05 16:36:59.252 -0400,"Aborted",0:00:01,1,0,0,"20180905_163659.252/LogFile.txt","","",0
2018-09-05 16:39:38.863 -0400,"Success",0:00:57,0,0,0,"20180905_163938.863/LogFile.txt","","",1
2018-09-05 16:51:00.457 -0400,"Success",0:00:12,0,0,0,"20180905_165100.457/LogFile.txt","","",1
2018-09-05 17:00:18.899 -0400,"Success",0:00:08,0,0,0,"20180905_170018.899/LogFile.txt","","",1
2018-09-05 17:22:00.791 -0400,"Success",0:00:07,0,0,0,"20180905_172200.791/LogFile.txt","","",1
2018-09-05 17:28:17.436 -0400,"Aborted",0:00:01,1,0,0,"20180905_172817.436/LogFile.txt","","",0
