Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-08-28 16:10:13.620 -0400,"Aborted",0:00:01,1,0,1,"20180828_161013.620/LogFile.txt","","",0
2018-08-28 16:59:07.277 -0400,"Failure",0:00:01,1,0,1,"20180828_165907.277/LogFile.txt","","Image Not Found -- waitfor Error - Image Property List did not contain ""ImageName"" property  Restricted Search Rectangle ((55,573),(1906,703))\n",0
2018-08-29 09:42:42.702 -0400,"Failure",0:01:27,1,0,1,"20180829_094242.702/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""(TEXT:""Doe, Jane"")"" within 5.00 seconds  Restricted Search Rectangle ((156,590),(1804,654))\n",0
2018-09-05 10:29:06.547 -0400,"Aborted",0:00:12,1,0,0,"20180905_102906.547/LogFile.txt","","",0
2018-09-05 11:12:01.542 -0400,"Success",0:00:00,0,0,0,"20180905_111201.542/LogFile.txt","","",1
2018-09-05 11:32:15.094 -0400,"Success",0:00:00,0,0,0,"20180905_113215.094/LogFile.txt","","",1
2018-09-05 11:35:27.519 -0400,"Success",0:00:00,0,0,0,"20180905_113527.519/LogFile.txt","","",1
2018-09-05 11:36:37.562 -0400,"Success",0:00:00,0,0,0,"20180905_113637.562/LogFile.txt","","",1
2018-09-05 11:37:28.301 -0400,"Aborted",1:19:20,1,0,0,"20180905_113728.301/LogFile.txt","","",0
2018-09-05 13:46:31.207 -0400,"Success",0:01:25,0,0,0,"20180905_134631.207/LogFile.txt","","",1
2018-09-05 13:49:07.005 -0400,"Aborted",0:00:43,1,0,0,"20180905_134907.005/LogFile.txt","","",0
2018-09-05 14:30:26.808 -0400,"Success",0:00:20,0,0,0,"20180905_143026.808/LogFile.txt","","",1
2018-09-05 14:31:48.699 -0400,"Success",0:00:00,0,0,0,"20180905_143148.699/LogFile.txt","","",1
2018-09-05 14:32:48.033 -0400,"Success",0:00:00,0,0,0,"20180905_143248.033/LogFile.txt","","",1
2018-09-05 14:33:40.746 -0400,"Aborted",0:06:06,1,0,0,"20180905_143340.746/LogFile.txt","","",0
2018-09-05 14:43:15.313 -0400,"Failure",0:00:17,1,0,0,"20180905_144315.313/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'typtext'",0
2018-09-05 14:47:14.038 -0400,"Success",0:03:20,0,0,0,"20180905_144714.038/LogFile.txt","","",1
2018-09-05 16:27:21.511 -0400,"Aborted",0:00:42,1,0,0,"20180905_162721.511/LogFile.txt","","",0
2018-09-05 16:28:54.447 -0400,"Success",0:00:06,0,0,0,"20180905_162854.447/LogFile.txt","","",1
2018-09-05 16:30:52.630 -0400,"Aborted",0:00:02,1,0,0,"20180905_163052.630/LogFile.txt","","",0
2018-09-05 16:45:08.855 -0400,"Aborted",0:00:55,1,0,0,"20180905_164508.855/LogFile.txt","","",0
2018-09-06 10:19:45.191 -0400,"Success",0:06:36,0,0,0,"20180906_101945.191/LogFile.txt","","",1
2018-09-08 17:50:45.908 -0400,"Aborted",0:00:35,1,0,1,"20180908_175045.908/LogFile.txt","","",0
2018-09-08 18:00:15.305 -0400,"Success",0:00:03,0,0,0,"20180908_180015.305/LogFile.txt","","",1
2018-09-08 18:20:52.995 -0400,"Success",0:01:04,0,0,0,"20180908_182052.995/LogFile.txt","","",1
2018-09-08 18:24:14.026 -0400,"Success",0:00:25,0,0,0,"20180908_182414.026/LogFile.txt","","",1
2018-09-08 18:29:08.624 -0400,"Success",0:00:08,0,0,0,"20180908_182908.624/LogFile.txt","","",1
2018-09-08 18:30:39.945 -0400,"Success",0:00:07,0,0,0,"20180908_183039.945/LogFile.txt","","",1
2018-09-08 21:05:27.222 -0400,"Success",0:00:07,0,0,0,"20180908_210527.222/LogFile.txt","","",1
2018-09-08 21:06:43.437 -0400,"Success",0:00:07,0,0,0,"20180908_210643.437/LogFile.txt","","",1
2018-09-08 21:07:53.350 -0400,"Success",0:00:07,0,0,0,"20180908_210753.350/LogFile.txt","","",1
2018-09-08 21:14:55.435 -0400,"Success",0:00:07,0,0,0,"20180908_211455.435/LogFile.txt","","",1
2018-09-08 21:17:49.612 -0400,"Success",0:00:07,0,0,0,"20180908_211749.612/LogFile.txt","","",1
2018-09-10 10:17:38.852 -0400,"Success",0:00:07,0,0,0,"20180910_101738.852/LogFile.txt","","",1
2018-09-10 10:24:56.695 -0400,"Failure",0:00:02,1,0,1,"20180910_102456.695/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2018-09-10 10:26:12.945 -0400,"Failure",0:00:03,1,0,1,"20180910_102612.945/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2018-09-10 10:46:15.573 -0400,"Failure",0:00:02,1,0,1,"20180910_104615.573/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2018-09-10 10:48:02.606 -0400,"Failure",0:00:02,1,0,1,"20180910_104802.606/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
